,Class Title,Typed Notes,Python Reading Material Link,Reference Code (if applicable),Python Video Content
,Backend LLD & Projects: Design Patterns: Builder,https://github.com/kanmaytacker/design-patterns/blob/master/notes/01-singleton-builder.md,https://drive.google.com/file/d/1iJ2-Tp3m1KriWz2zaZQw62YOopTdNfni/view?usp=sharing,NA,https://drive.google.com/file/d/11BCiM6KgOj4om8uiWG13WgJZKbsMb_qX/view?usp=drive_link
,Backend LLD & Projects: Design Patterns: Prototype and Registry,https://github.com/kanmaytacker/design-patterns/blob/master/notes/02-prototype-factory.md,https://drive.google.com/file/d/1vZyMQ4RM1zE2B5EfJSgELnnzJ3Hv3B2N/view?usp=drive_link,NA,https://drive.google.com/file/d/13DvLbyy83kXGR7GC91RZDg3jNyiXeWux/view?usp=drive_link
,Backend LLD & Projects: Design Patterns: Factory,https://github.com/kanmaytacker/design-patterns/blob/master/notes/03-factory.md,https://drive.google.com/file/d/1nu5hOUCFAj4CRdR-eG4rCLVhQztwPv6R/view?usp=drive_link,NA,https://drive.google.com/file/d/1qR1GcUPpRKd6f-Q0JObAhOg8LVscE9Ws/view?usp=drive_link
,Backend LLD & Projects: Design Patterns: Adapter and Facade Design Pattern,"https://github.com/kanmaytacker/design-patterns/blob/master/notes/04-abstract-factory-adapter.md

https://github.com/kanmaytacker/design-patterns/blob/master/notes/07-facade-observer.md
",https://drive.google.com/file/d/1dG5QvwnRnY8e5wx-6KKJRgyhDNU1mFCG/view?usp=drive_link,NA,https://drive.google.com/file/d/1rNxd4DiFnqK8mFk54mSkJmHlvZqw9M_o/view?usp=drive_link
,Backend LLD & Projects: Design Patterns: Decorator and Flyweight Design Pattern,"https://github.com/kanmaytacker/design-patterns/blob/master/notes/05-adapter-flyweight.md
https://github.com/kanmaytacker/design-patterns/blob/master/notes/06-decorator-facade.md",https://drive.google.com/file/d/1LcQGiUatmqqLOaKWNSnb-Dcr8dGbGOdv/view?usp=drive_link,NA,https://drive.google.com/file/d/1D43pek63HBDEqUGscVGTJfpUsb7WUHC2/view?usp=drive_link
,Backend LLD & Projects: Design Patterns: Behavioural Design Pattern,https://github.com/kanmaytacker/design-patterns/blob/master/notes/08-observer-strategy.md,https://drive.google.com/file/d/1qzt2L_EpikgQ9bMKNW26ZpB2FtkvqQkb/view?usp=drive_link,NA,https://drive.google.com/file/d/1lgyvm_HYdM0eWTH851_t6bI3VDlQoDsR/view?usp=drive_link
,Backend LLD & Projects: UML Diagrams,https://github.com/kanmaytacker/design-questions/blob/master/notes/00-uml-diagrams.md,https://drive.google.com/file/d/189CoVMqEixAIlZHuMnV3wfxvh0-FR1xY/view?usp=sharing,NA,NA
Backend LLD 3,Backend LLD & Projects: Machine Coding - 1: How to Approach Design Problems,,,,NA
,Backend LLD & Projects: Machine Coding - 2: Design TicTacToe,https://github.com/kanmaytacker/design-questions/blob/master/notes/02-design-tic-tac-toe-in-class.md,"Worksheet
Answers",,NA
,Backend LLD & Projects: Machine Coding - 3: Code TicTacToe 1,,https://drive.google.com/file/d/1fdBnFnZSMZVKpMndz1XCPK1h4hEmxGn0/view?usp=drive_link,https://github.com/scaleracademy/lld-python/tree/main/design-questions/tictactoe,https://drive.google.com/file/d/127YQ4C6_dcmusl2txfv-7FeB0tiS39k1/view?usp=drive_link
